organization_id,organization_code,organization_name,organization_type,parent_organization_id,government_level,ward_number,municipality_name,district,province,registration_number,active,notes,is_public,data_quality_status,source_reference
ORG-000001,FBL,Fishtail Builders Pvt Ltd,PRIVATE_COMPANY,,,,,,,,TRUE,Migrated from the verified v1.1.0 contractor value.,TRUE,VALID,v1.1.0 projects.csv
ORG-000002,REB,Rohini Engineering and Builders Pvt Ltd,PRIVATE_COMPANY,,,,,,,,TRUE,Migrated from the verified v1.1.0 contractor value.,TRUE,VALID,v1.1.0 projects.csv
ORG-000003,PMC,Pokhara Metropolitan City,MUNICIPALITY,,LOCAL,,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Parent municipality for ward-funded government projects,TRUE,VALID,imports/photo-groups-2026-08-02/README.md
ORG-000004,PMC-W04,Pokhara Metropolitan City Ward No. 4 Office,WARD_OFFICE,ORG-000003,LOCAL,4,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Administrative and ward-budget body for Ward No. 4 projects,TRUE,VALID,imports/photo-groups-2026-08-02/source_groups_resolved.csv
ORG-000005,PMC-W05,Pokhara Metropolitan City Ward No. 5 Office,WARD_OFFICE,ORG-000003,LOCAL,5,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Administrative and ward-budget body for Ward No. 5 projects,TRUE,VALID,imports/photo-groups-2026-08-02/source_groups_resolved.csv
ORG-000006,PMC-W06,Pokhara Metropolitan City Ward No. 6 Office,WARD_OFFICE,ORG-000003,LOCAL,6,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Administrative and ward-budget body for Ward No. 6 projects,TRUE,VALID,imports/photo-groups-2026-08-02/source_groups_resolved.csv
ORG-000007,PMC-W09,Pokhara Metropolitan City Ward No. 9 Office,WARD_OFFICE,ORG-000003,LOCAL,9,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Administrative and ward-budget body for Ward No. 9 projects,TRUE,VALID,imports/photo-groups-2026-08-02/source_groups_resolved.csv
ORG-000008,PMC-W14,Pokhara Metropolitan City Ward No. 14 Office,WARD_OFFICE,ORG-000003,LOCAL,14,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Administrative and ward-budget body for Ward No. 14 projects,TRUE,VALID,imports/photo-groups-2026-08-02/source_groups_resolved.csv
ORG-000009,PMC-W20,Pokhara Metropolitan City Ward No. 20 Office,WARD_OFFICE,ORG-000003,LOCAL,20,Pokhara Metropolitan City,Kaski,Gandaki Province,,TRUE,Administrative and ward-budget body for Ward No. 20 projects,TRUE,VALID,imports/photo-groups-2026-08-02/source_groups_resolved.csv
